pid,label,description,year,medium,series_subject,image_size,frame_size,gallery_one,gallery_one_identifier,gallery_price,gallery_two,gallery_two_identifier,gallery_three,gallery_three_identifier,order,layout,collection,thumbnail,full,manifest
obj0,Untitled,Three model hands. Two of the hands are pinned to the backing.,Unknown,Collage,Anatomical,15 1/2 x 19 1/2 ,17 x 21,,,,,,,,000,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj0/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj0/full/1140,/0/default.jpg",/img/derivatives/iiif/obj0/manifest.json
obj1,Flowing Harp,Two left legs bent at the knee to form the shape of a harp. Lines of sheet music between the legs appear as harp strings.,Unknown,Collage,Anatomical,6 x 4 3/4,20 3/4 x 16 3/4,Berta Walker,18124,,,,,,001,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj1_obj1_0/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj1_obj1_0/full/1140,/0/default.jpg",/img/derivatives/iiif/obj1/manifest.json
obj10,Untitled,A face peers out from the woods above which floats a skull.,Unknown,Collage,Anatomical,13 1/4 x 16 1/2,22 x 25 1/2,,,,,,,,002,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj10/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj10/full/1140,/0/default.jpg",/img/derivatives/iiif/obj10/manifest.json
obj100,Portrait of the Artist,The hind quarter of a horse extends out from between the lines of sheet music.,2012,Collage,Animals,9 1/4 x 13 1/4,17 1/4 x 21 1/4,,,,,,,,003,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj100/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj100/full/1140,/0/default.jpg",/img/derivatives/iiif/obj100/manifest.json
obj101,Untitled,Hands in prayer alongside a lamb.,Unknown,Collage,Animals,5 x 8,17 x 21,,,,,,,,004,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj101/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj101/full/1140,/0/default.jpg",/img/derivatives/iiif/obj101/manifest.json
obj102,Untitled,"A woman, hidden by the matboard, holds a moth by a string in her fingers.",c. 2014,Collage,Animals,24 x 18 3/4,24 x 18 3/4,,,,,,,,005,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj102_obj102_0/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj102_obj102_0/full/1140,/0/default.jpg",/img/derivatives/iiif/obj102/manifest.json
obj103,Untitled,"A sphere appears from behind a tree, in front of which a rabbit attempts to avoid a shooting target.",Unknown,Collage,Animals,16 x 11 1/2,24 3/4 x 20 1/4,,,,,,,,006,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj103/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj103/full/1140,/0/default.jpg",/img/derivatives/iiif/obj103/manifest.json
obj104,Rabbit and Cat,A rabbit and a cat gaze at ship at sea.,Unknown,Collage,Animals,8 x 8,16 3/4 x 16,Berta Walker Gallery,18123,,,,,,007,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj104/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj104/full/1140,/0/default.jpg",/img/derivatives/iiif/obj104/manifest.json
obj105,Untitled,"A snail, alongside the word spread out, between two pieces of an abstraction of a snail with its shell removed.",Unknown,Collage,Animals,16 3/4 x 14,25 1/4 x 22 1/4,,,,,,,,008,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj105/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj105/full/1140,/0/default.jpg",/img/derivatives/iiif/obj105/manifest.json
obj106,Untitled,A snail traverses the top of an architectural detail.,Unknown,Collage,Animals,4 3/4 x 7 3/4,15 x 18,,,,,,,,009,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj106/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj106/full/1140,/0/default.jpg",/img/derivatives/iiif/obj106/manifest.json
obj107,Untitled,A snail eats through a large leaf.,Unknown,Collage,Animals,6 1/2 x 10,20 1/2 x 16 3/4,,,,,,,,010,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj107/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj107/full/1140,/0/default.jpg",/img/derivatives/iiif/obj107/manifest.json
obj108,Untitled,A large snake coils upon the chin of a human.,c. 2013 - 2017,Collage,Animals,17 1/2 x 11 3/8,26 1/2 x 20 1/4,,,,,,,,011,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj108/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj108/full/1140,/0/default.jpg",/img/derivatives/iiif/obj108/manifest.json
obj109,Eurydice and the Serpents,The silhouette of a figure gazes at snakes along the water's edge.,2010,Collage,Animals,10 x 13 3/4,16 3/8 x 20,Berta Walker Gallery,,,,,,,012,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj109/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj109/full/1140,/0/default.jpg",/img/derivatives/iiif/obj109/manifest.json
obj11,Untitled,The skeleton arm extends from above towards a human skull.,Unknown,Collage,Anatomical,8 7/8 x 7 1/2,16 5/8 x 15 1/4,,,,,,,,013,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj11/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj11/full/1140,/0/default.jpg",/img/derivatives/iiif/obj11/manifest.json
obj110,Untitled,"The letter 'H' above a black snake, chalice, tulip, and the number two.",Unknown,Collage,Animals,,,,,,,,,,014,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj110/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj110/full/1140,/0/default.jpg",/img/derivatives/iiif/obj110/manifest.json
obj111,Untitled,A spider crawls behind a shooting target upon a background of sheet music.,c. 2013 - 2017,Collage,Animals,7 1/4 x 12,17 x 18,,,,,,,,015,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj111/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj111/full/1140,/0/default.jpg",/img/derivatives/iiif/obj111/manifest.json
obj112,Untitled,A whale balances a blue ball on its nose.,Unknown,Collage,Animals,23 x 20 3/4,23 x 20 3/4,,,,,,,,016,boghosian_item,boghosian,"/img/derivatives/iiif/images/obj112/full/250,/0/default.jpg","/img/derivatives/iiif/images/obj112/full/1140,/0/default.jpg",/img/derivatives/iiif/obj112/manifest.json
